code,name,market,industry,close_price,change_rate,market_cap
083550,케이엠,KOSDAQ,기타 섬유제품 제조업,3200,1.43,43379728000
052790,액토즈소프트,KOSDAQ,소프트웨어 개발 및 공급업,3965,-1.61,43315828855
189860,서전기전,KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",4455,-5.61,43208064900
073110,엘엠에스,KOSDAQ,전자부품 제조업,4855,-0.72,43188890525
238120,얼라인드,KOSDAQ,사진장비 및 광학기기 제조업,3035,-2.88,43152461590
023350,한국종합기술,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",3940,-4.14,43143000000
352910,오비고,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",3410,-1.45,43094904820
065500,오리엔트정공,KOSDAQ,자동차 신품 부품 제조업,1205,-1.23,43070208960
218150,미래생명자원,KOSDAQ,동물용 사료 및 조제식품 제조업,2105,1.94,42975263210
143540,영우디에스피,KOSDAQ,특수 목적용 기계 제조업,960,-6.89,42815899200
026940,부국철강,KOSPI,1차 철강 제조업,2140,-4.04,42800000000
413640,비아이매트릭스,KOSDAQ,소프트웨어 개발 및 공급업,5930,-8.77,42737154200
261520,이지스,KOSDAQ,소프트웨어 개발 및 공급업,4155,0.0,42704259000
229000,젠큐릭스,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,1818,0.28,42592403970
246690,TS인베스트먼트,KOSDAQ,신탁업 및 집합투자업,1786,-2.19,42467818764
042040,케이피엠테크,KOSDAQ,기타 전문 도매업,4870,-6.88,42227726170
189690,포시에스,KOSDAQ,소프트웨어 개발 및 공급업,1544,0.0,42185120136
150900,파수AI,KOSDAQ,소프트웨어 개발 및 공급업,3595,-4.01,42075599590
101240,씨큐브,KOSDAQ,기초 화학물질 제조업,3700,7.25,42021092400
296160,프로젠,KONEX,자연과학 및 공학 연구개발업,2730,-0.18,41973965670
122690,서진오토모티브,KOSDAQ,자동차 신품 부품 제조업,1817,-0.22,41934844622
900250,크리스탈신소재,KOSDAQ,기타 금융업,1169,-3.79,41867736169
140520,대창스틸,KOSDAQ,1차 철강 제조업,1983,1.07,41859628869
038060,루멘스,KOSDAQ,반도체 제조업,870,-1.69,41849670030
273060,와이즈버즈,KOSDAQ,광고업,851,-0.93,41821782280
153460,네이블,KOSDAQ,소프트웨어 개발 및 공급업,6400,-3.47,41792089600
450330,하스,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,5100,-2.3,41752899300
033340,좋은사람들,KOSDAQ,봉제의복 제조업,429,30.0,41591789382
056700,신화인터텍,KOSDAQ,플라스틱제품 제조업,1425,-1.93,41517504675
123010,알엔티엑스,KOSDAQ,전자부품 제조업,2050,-0.97,41442322350
258610,케일럼,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업",1135,4.32,41410546505
037230,한국팩키지,KOSDAQ,"골판지, 종이 상자 및 종이용기 제조업",1388,-1.91,41362853876
019490,엑시큐어하이트론,KOSPI,영상 및 음향기기 제조업,541,0.0,41349858070
043340,에쎈테크,KOSDAQ,일반 목적용 기계 제조업,870,-1.81,41325000000
052220,iMBC,KOSDAQ,영상·오디오물 제공 서비스업,1794,0.84,41262000000
042940,상지건설,KOSDAQ,건물 건설업,6030,-3.37,41177133360
263810,상신전자,KOSDAQ,전자부품 제조업,2580,-0.77,41086048500
025880,케이씨피드,KOSDAQ,동물용 사료 및 조제식품 제조업,2450,-5.95,40953852100
199480,뱅크웨어글로벌,KOSDAQ,소프트웨어 개발 및 공급업,4010,13.92,40888317880
373160,데이원컴퍼니,KOSDAQ,기타 교육기관,2955,-2.8,40801070895
038070,서린바이오,KOSDAQ,기타 전문 도매업,4385,-3.84,40783464260
277070,린드먼아시아,KOSDAQ,신탁업 및 집합투자업,2975,-0.5,40733700000
086060,진바이오텍,KOSDAQ,산업용 농·축산물 및 동·식물 도매업,4720,0.43,40641970640
011420,갤럭시아에스엠,KOSPI,스포츠 서비스업,1475,-2.64,40635724900
104200,NHN벅스,KOSDAQ,기타 정보 서비스업,2740,-4.36,40627487000
290670,대보마그네틱,KOSDAQ,기타 전기장비 제조업,5160,-7.03,40545525600
065440,이루온,KOSDAQ,소프트웨어 개발 및 공급업,1484,-4.01,40476129680
178780,일월지엠엘,KOSDAQ,상품 종합 도매업,2170,0.0,40447053150
002290,삼일기업공사,KOSDAQ,건물 건설업,3260,-1.06,40424000000
017040,광명전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",932,0.0,40390657180
256150,한독크린텍,KOSDAQ,일반 목적용 기계 제조업,4805,1.37,40337975000
057540,옴니시스템,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",678,-1.74,40269313704
017180,명문제약,KOSPI,의약품 제조업,1184,-5.51,40200889536
097870,효성오앤비,KOSDAQ,"비료, 농약 및 살균, 살충제 제조업",4730,1.94,40157700000
122830,원포유,KONEX,소프트웨어 개발 및 공급업,1226,0.49,40153933610
000215,DL우,KOSPI,기타,23800,-0.42,40129537000
219420,링크제니시스,KOSDAQ,소프트웨어 개발 및 공급업,3485,-5.17,39971231895
191600,블루탑,KONEX,전자부품 제조업,13980,0.07,39967813440
049830,승일,KOSDAQ,기타 금속 가공제품 제조업,6500,-0.76,39858728000
250000,보라티알,KOSDAQ,음·식료품 및 담배 도매업,5900,-0.67,39829324700
012280,영화금속,KOSPI,자동차 신품 부품 제조업,803,0.0,39768177515
171010,램테크놀러지,KOSDAQ,기초 화학물질 제조업,2780,-4.3,39750530560
064090,인크레더블버즈,KOSDAQ,상품 종합 도매업,798,0.0,39694710510
261200,덴티스,KOSDAQ,의료용 기기 제조업,2510,-1.38,39682347000
234100,폴라리스세원,KOSDAQ,자동차 신품 부품 제조업,2715,-7.34,39643441740
012160,영흥,KOSPI,1차 철강 제조업,2535,3.05,39598482105
008870,금비,KOSPI,유리 및 유리제품 제조업,39500,-4.93,39500000000
446840,지슨,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",3585,-0.28,39494568360
199550,레이저옵텍,KOSDAQ,의료용 기기 제조업,2660,-4.66,39489804060
112190,KC산업,KONEX,토목 건설업,1105,-14.93,39425811035
271830,팸텍,KOSDAQ,특수 목적용 기계 제조업,1336,29.96,39398909872
002880,디와이에이,KOSPI,자동차 신품 부품 제조업,840,0.0,39290155800
263770,유에스티,KOSDAQ,1차 철강 제조업,1657,1.97,39271185004
009460,한창제지,KOSPI,"펄프, 종이 및 판지 제조업",3290,0.92,39261205130
